date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-10,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-11,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-12,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-13,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-14,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-15,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-16,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-17,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-18,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-19,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-20,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-21,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-22,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-23,30001,Beaverhead,MT,0,0,,,,,,,,,,,,,,,,,,,,
