date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-23,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-24,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-25,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-26,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-27,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-28,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-29,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-30,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-01-31,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-01,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-02,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-03,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-04,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-05,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-06,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-07,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-08,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
2020-02-09,33001,Belknap,NH,0,0,,,,,,,,,,,,,,,,,,,,
