date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-23,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-24,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-25,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-26,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-27,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-28,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-29,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-30,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-01-31,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-01,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-02,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-03,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-04,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-05,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-06,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-07,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-08,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-09,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-10,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-11,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-12,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-13,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-14,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-15,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-16,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-17,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-18,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-19,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-20,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-21,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-22,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-23,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-24,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-25,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-26,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-27,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-28,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-02-29,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-01,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-02,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-03,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-04,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-05,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-06,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-07,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-08,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-09,46003,Aurora,SD,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-10,46003,Aurora,SD,0,0,,,,,,,1.14286,0.761904,1.71429,1.14286,0.761904,1.71429,0.000415433,0.000276955,0.00062315,1.14286,0.761904,1.71429,0.000415433,0.000276955,0.00062315
2020-03-11,46003,Aurora,SD,0,0,,,,,,,1.10714,0.738095,1.66071,2.25,1.5,3.375,0.000817884,0.000545256,0.00122683,2.25,1.5,3.375,0.000817884,0.000545256,0.00122683
2020-03-12,46003,Aurora,SD,0,0,,,,,,,1.07143,0.714286,1.60714,3.32143,2.21428,4.98214,0.00120735,0.000804902,0.00181103,3.32143,2.21428,4.98214,0.00120735,0.000804902,0.00181103
2020-03-13,46003,Aurora,SD,0,0,,,,,,,1.03571,0.690476,1.55357,4.35714,2.90476,6.53571,0.00158384,0.00105589,0.00237576,4.35714,2.90476,6.53571,0.00158384,0.00105589,0.00237576
2020-03-14,46003,Aurora,SD,0,0,,,,,,,1,0.666667,1.5,5.35714,3.57143,8.03571,0.00194734,0.00129823,0.00292102,5.35714,3.57143,8.03571,0.00194734,0.00129823,0.00292102
2020-03-15,46003,Aurora,SD,0,0,,,,,,,0.964286,0.642857,1.44643,6.32143,4.21428,9.48214,0.00229787,0.00153191,0.0034468,6.32143,4.21428,9.48214,0.00229787,0.00153191,0.0034468
2020-03-16,46003,Aurora,SD,0,0,,,,,,,0.944738,0.629826,1.41711,7.26617,4.84411,10.8992,0.00264128,0.00176085,0.00396192,7.26617,4.84411,10.8992,0.00264128,0.00176085,0.00396192
2020-03-17,46003,Aurora,SD,0,0,,,,,,,0.781473,0.520982,1.17221,8.04764,5.36509,12.0715,0.00292535,0.00195023,0.00438803,8.04764,5.36509,12.0715,0.00292535,0.00195023,0.00438803
2020-03-18,46003,Aurora,SD,0,0,,,,,,,0.628412,0.418941,0.942617,8.67605,5.78403,13.0141,0.00315378,0.00210252,0.00473067,8.67605,5.78403,13.0141,0.00315378,0.00210252,0.00473067
2020-03-19,46003,Aurora,SD,0,0,,,,,,,0.485554,0.323703,0.728332,9.16161,6.10774,13.7424,0.00333028,0.00222019,0.00499542,9.16161,6.10774,13.7424,0.00333028,0.00222019,0.00499542
2020-03-20,46003,Aurora,SD,0,0,,,,,,,0.352901,0.235268,0.529352,9.51451,6.343,14.2718,0.00345856,0.00230571,0.00518784,9.51451,6.343,14.2718,0.00345856,0.00230571,0.00518784
2020-03-21,46003,Aurora,SD,0,0,,,,,,,0.230452,0.153635,0.345679,9.74496,6.49664,14.6174,0.00354233,0.00236156,0.0053135,9.74496,6.49664,14.6174,0.00354233,0.00236156,0.0053135
2020-03-22,46003,Aurora,SD,0,0,,,,,,,0.118208,0.0788051,0.177311,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-23,46003,Aurora,SD,0,0,,,,,,,0,0,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-24,46003,Aurora,SD,0,0,,,,,,,0,0,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-25,46003,Aurora,SD,0,0,,,,,,,0,0,0,8.72031,5.81354,13.0805,0.00316987,0.00211325,0.0047548,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-26,46003,Aurora,SD,0,0,,,,,,,0,0,0,7.61317,5.07545,11.4197,0.00276742,0.00184495,0.00415113,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-27,46003,Aurora,SD,1,0,0.142857,0,8,5.33333,12,0,0,0,0,6.54174,4.36116,9.81261,0.00237795,0.0015853,0.00356692,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-28,46003,Aurora,SD,1,0,0.142857,0,7.5,5,11.25,0,0,0,0,5.50602,3.67068,8.25904,0.00200146,0.00133431,0.00300219,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-29,46003,Aurora,SD,1,0,0.142857,0,7,4.66667,10.5,0,0,0,0,4.50602,3.00402,6.75904,0.00163796,0.00109197,0.00245694,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-30,46003,Aurora,SD,1,0,0.142857,0,6.5,4.33333,9.75,0,0,0,0,3.54174,2.36116,5.31261,0.00128744,0.000858291,0.00193115,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-03-31,46003,Aurora,SD,1,0,0.142857,0,6,4,9,,0,0,0,2.597,1.73133,3.8955,0.000944021,0.000629347,0.00141603,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-01,46003,Aurora,SD,1,0,0.142857,0,5.5,3.66667,8.25,,0,0,0,1.81553,1.21035,2.72329,0.000659952,0.000439968,0.000989928,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-02,46003,Aurora,SD,1,0,0.142857,0,5.79217,3.86145,8.68825,,0,0,0,1.18712,0.791411,1.78067,0.000431522,0.000287681,0.000647282,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-03,46003,Aurora,SD,1,0,0,0,5.87236,3.91491,8.80854,,0,0,0,0.701561,0.467708,1.05234,0.000255021,0.000170014,0.000382531,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-04,46003,Aurora,SD,1,0,0,0,5.8086,3.8724,8.71289,,0,0,0,0.34866,0.23244,0.52299,0.000126739,8.4493e-05,0.000190109,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-05,46003,Aurora,SD,1,0,0,0,5.96348,3.97565,8.94522,,0,0,0,0.118208,0.0788051,0.177311,4.29689e-05,2.8646e-05,6.44534e-05,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-06,46003,Aurora,SD,1,0,0,0,6.27665,4.18444,9.41498,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-07,46003,Aurora,SD,1,0,0,0,6.3596,4.23973,9.53939,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-08,46003,Aurora,SD,1,0,0,0,6.6233,4.41553,9.93495,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-09,46003,Aurora,SD,1,0,0,0,6.65505,4.4367,9.98258,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-10,46003,Aurora,SD,1,0,0,0,7.01042,4.67361,10.5156,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-11,46003,Aurora,SD,1,0,0,0,7.44918,4.96612,11.1738,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-12,46003,Aurora,SD,1,0,0,0,7.63672,5.09115,11.4551,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-13,46003,Aurora,SD,1,0,0,0,7.99764,5.33176,11.9965,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-14,46003,Aurora,SD,1,0,0,0,8.28009,5.52006,12.4201,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-15,46003,Aurora,SD,1,0,0,0,8.53842,5.69228,12.8076,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-16,46003,Aurora,SD,1,0,0,0,8.47974,5.65316,12.7196,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-17,46003,Aurora,SD,1,0,0,0,8.37768,5.58512,12.5665,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-18,46003,Aurora,SD,1,0,0,0,8.15803,5.43868,12.237,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-19,46003,Aurora,SD,1,0,0,0,8.10337,5.40225,12.1551,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-20,46003,Aurora,SD,1,0,0,0,7.80966,5.20644,11.7145,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-21,46003,Aurora,SD,1,0,0,0,7.35387,4.90258,11.0308,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-22,46003,Aurora,SD,1,0,0,0,6.92107,4.61404,10.3816,,0,0,0,0,5.96745e-16,0,0,2.16919e-19,0,9.86317,6.57544,14.7947,0.0035853,0.0023902,0.00537795
2020-04-23,46003,Aurora,SD,1,0,0,0,6.69172,4.46115,10.0376,,0.114953,0.0766353,0.172429,0.114953,0.0766353,0.172429,4.17858e-05,2.78573e-05,6.26788e-05,9.97812,6.65208,14.9672,0.00362709,0.00241806,0.00544063
2020-04-24,46003,Aurora,SD,1,0,0,0,6.39493,4.26329,9.5924,,0.229036,0.152691,0.343555,0.343989,0.229326,0.515984,0.000125042,8.33611e-05,0.000187562,10.2072,6.80477,15.3107,0.00371034,0.00247356,0.00556552
2020-04-25,46003,Aurora,SD,1,0,0,0,6.1738,4.11587,9.2607,4,0.340522,0.227015,0.510783,0.684511,0.456341,1.02677,0.000248823,0.000165882,0.000373234,10.5477,7.03179,15.8215,0.00383413,0.00255608,0.00575119
2020-04-26,46003,Aurora,SD,1,0,0,0,5.90412,3.93608,8.85618,3.64652,0.449995,0.299997,0.674992,1.13451,0.756338,1.70176,0.000412398,0.000274932,0.000618597,10.9977,7.33178,16.4965,0.0039977,0.00266513,0.00599655
2020-04-27,46003,Aurora,SD,1,0,0,0,5.86663,3.91109,8.79994,3.14968,0.556264,0.370843,0.834396,1.69077,1.12718,2.53616,0.000614602,0.000409735,0.000921903,11.5539,7.70263,17.3309,0.0041999,0.00279994,0.00629986
2020-04-28,46003,Aurora,SD,1,0,0,0,5.92583,3.95056,8.88875,2.75811,0.657358,0.438238,0.986036,2.34813,1.56542,3.52219,0.000853554,0.000569036,0.00128033,12.2113,8.14086,18.3169,0.00443886,0.00295924,0.00665829
2020-04-29,46003,Aurora,SD,1,0,0,0,5.91619,3.94413,8.87428,2.45584,0.754225,0.502817,1.13134,3.10235,2.06824,4.65353,0.00112772,0.000751812,0.00169158,12.9655,8.64368,19.4483,0.00471302,0.00314201,0.00706953
2020-04-30,46003,Aurora,SD,1,0,0,0,6.01217,4.00811,9.01826,2.33802,0.73417,0.489447,1.10126,3.83652,2.55768,5.75479,0.00139459,0.000929728,0.00209189,13.6997,9.13313,20.5495,0.00497989,0.00331993,0.00746984
2020-05-01,46003,Aurora,SD,1,0,0,0,6.20312,4.13541,9.30468,2.30841,0.712512,0.475008,1.06877,4.54904,3.03269,6.82355,0.00165359,0.0011024,0.00248039,14.4122,9.60814,21.6183,0.0052389,0.0034926,0.00785834
2020-05-02,46003,Aurora,SD,1,0,0,0,5.97144,3.98096,8.95717,2.30841,0.693544,0.462362,1.04032,5.24258,3.49505,7.86387,0.0019057,0.00127047,0.00285855,15.1057,10.0705,22.6586,0.005491,0.00366067,0.0082365
2020-05-03,46003,Aurora,SD,1,0,0,0,6.04709,4.03139,9.07063,2.40941,1.14966,0.766441,1.72449,6.39224,4.26149,9.58836,0.00232361,0.00154907,0.00348541,16.2554,10.8369,24.3831,0.00590891,0.00393927,0.00886336
2020-05-04,46003,Aurora,SD,1,0,0,0,5.88712,3.92475,8.83068,2.67283,1.60707,1.07138,2.41061,7.99931,5.33288,11.999,0.00290778,0.00193852,0.00436168,17.8625,11.9083,26.7937,0.00649309,0.00432872,0.00973963
2020-05-05,46003,Aurora,SD,1,0,0,0,5.72712,3.81808,8.59069,3.01807,3.18924,2.12616,4.78386,11.1886,7.45903,16.7828,0.00406709,0.00271139,0.00610063,21.0517,14.0345,31.5776,0.00765239,0.00510159,0.0114786
2020-05-06,46003,Aurora,SD,1,0,0,0,5.5765,3.71767,8.36475,3.41138,4.95031,3.3002,7.42546,16.1389,10.7592,24.2083,0.00586654,0.00391103,0.00879981,26.002,17.3347,39.003,0.00945185,0.00630123,0.0141778
2020-05-07,46003,Aurora,SD,1,0,0,0,5.48011,3.65341,8.22016,3.62109,6.56444,4.37629,9.84666,22.7033,15.1355,34.0549,0.00825275,0.00550183,0.0123791,32.5665,21.711,48.8497,0.011838,0.00789203,0.0177571
2020-05-08,46003,Aurora,SD,1,0,0,0,5.61422,3.74281,8.42133,3.63181,8.15848,5.43898,12.2377,30.7468,20.4979,46.1202,0.0111766,0.00745106,0.0167649,40.7249,27.15,61.0874,0.0148037,0.00986912,0.0222055
2020-05-09,46003,Aurora,SD,1,0,0,0,5.69602,3.79735,8.54403,3.26651,9.6767,6.45113,14.515,40.1945,26.7963,60.2917,0.0146109,0.00974057,0.0219163,50.4016,33.6011,75.6024,0.0183212,0.0122141,0.0274818
2020-05-10,46003,Aurora,SD,2,0,0.142857,0,5.63269,3.75513,8.44904,2.83237,10.2593,6.83952,15.3889,50.1133,33.4088,75.1699,0.0182164,0.0121442,0.0273246,60.6609,40.4406,90.9914,0.0220505,0.0147003,0.0330757
2020-05-11,46003,Aurora,SD,2,0,0.142857,0,5.59009,3.72673,8.38514,2.35582,10.9194,7.27961,16.3791,60.5827,40.3884,90.874,0.0220221,0.0146814,0.0330331,71.5804,47.7202,107.371,0.0260198,0.0173465,0.0390296
2020-05-12,46003,Aurora,SD,2,0,0.142857,0,5.46281,3.64187,8.19421,1.85445,9.47191,6.31461,14.2079,69.4983,46.3322,104.247,0.0252629,0.0168419,0.0378944,81.0523,54.0348,121.578,0.0294628,0.0196419,0.0441942
2020-05-13,46003,Aurora,SD,2,0,0.142857,0,5.36416,3.57611,8.04624,1.33155,7.84063,5.22709,11.7609,76.6816,51.121,115.022,0.0278741,0.0185827,0.0418111,88.8929,59.2619,133.339,0.0323129,0.021542,0.0484694
2020-05-14,46003,Aurora,SD,2,0,0.142857,0,5.20718,3.47145,7.81077,0.916072,6.42677,4.28452,9.64016,82.3542,54.9027,123.531,0.0299361,0.0199574,0.0449041,95.3197,63.5464,142.979,0.0346491,0.0230994,0.0519736
2020-05-15,46003,Aurora,SD,2,0,0.142857,0,4.95359,3.30239,7.43038,0.636892,5.03081,3.35387,7.54621,86.6508,57.7672,129.976,0.0314979,0.0209986,0.0472469,100.35,66.9003,150.526,0.0364778,0.0243185,0.0547167
2020-05-16,46003,Aurora,SD,2,0,0.142857,0,4.74651,3.16434,7.11977,0.475391,3.70934,2.4729,5.56401,89.6476,59.7651,134.471,0.0325873,0.0217248,0.0488809,104.06,69.3732,156.09,0.0378262,0.0252174,0.0567393
2020-05-17,46003,Aurora,SD,3,0,0.142857,0,4.65001,3.10001,6.97501,0.396356,2.92235,1.94823,4.38352,91.8764,61.2509,137.815,0.0333975,0.022265,0.0500962,106.982,71.3214,160.473,0.0388885,0.0259256,0.0583327
2020-05-18,46003,Aurora,SD,3,0,0.142857,0,4.52883,3.01922,6.79325,0.376964,1.97226,1.31484,2.9584,92.699,61.7993,139.049,0.0336965,0.0224643,0.0505447,108.954,72.6363,163.432,0.0396054,0.0264036,0.0594081
2020-05-19,46003,Aurora,SD,3,0,0.142857,0,4.53336,3.02224,6.80004,0.398504,2.00775,1.3385,3.01162,93.0997,62.0664,139.65,0.0338421,0.0225614,0.0507632,110.962,73.9748,166.443,0.0403352,0.0268901,0.0605028
2020-05-20,46003,Aurora,SD,8,0,0.857143,0,4.619,3.07933,6.92849,0.479513,2.05155,1.3677,3.07732,91.962,61.308,137.943,0.0334286,0.0222857,0.0501429,113.014,75.3425,169.521,0.041081,0.0273873,0.0616214
2020-05-21,46003,Aurora,SD,8,0,0.857143,0,4.60338,3.06892,6.90507,0.546589,1.96004,1.30669,2.94005,88.9718,59.3145,133.458,0.0323416,0.0215611,0.0485124,114.974,76.6492,172.461,0.0417934,0.0278623,0.0626902
2020-05-22,46003,Aurora,SD,20,0,2.57143,0,4.58221,3.0548,6.87331,0.610112,1.87366,1.24911,2.8105,84.281,56.1873,126.421,0.0306365,0.0204243,0.0459547,116.847,77.8983,175.271,0.0424745,0.0283163,0.0637118
2020-05-23,46003,Aurora,SD,22,0,2.85714,0,4.55194,3.03463,6.82791,0.665197,1.78838,1.19225,2.68257,77.9109,51.9406,116.866,0.0283209,0.0188806,0.0424814,118.636,79.0905,177.954,0.0431246,0.0287497,0.0646869
2020-05-24,46003,Aurora,SD,22,0,2.71429,0,4.4075,2.93833,6.61125,0.712228,1.56214,1.04143,2.34321,69.7963,46.5309,104.694,0.0253713,0.0169142,0.0380569,120.198,80.132,180.297,0.0436925,0.0291283,0.0655387
2020-05-25,46003,Aurora,SD,22,0,2.71429,0,4.3493,2.89953,6.52395,0.75366,1.4283,0.952198,2.14245,60.9653,40.6435,91.448,0.0221612,0.0147741,0.0332417,121.626,81.0841,182.439,0.0442117,0.0294744,0.0663175
2020-05-26,46003,Aurora,SD,22,0,2.71429,0,4.15401,2.76934,6.23101,0.803048,1.36811,0.912071,2.05216,51.414,34.276,77.121,0.0186892,0.0124595,0.0280338,122.994,81.9962,184.492,0.044709,0.029806,0.0670634
2020-05-27,46003,Aurora,SD,22,0,2,0,4.01864,2.67909,6.02796,0.835508,1.38091,0.920605,2.07136,43.323,28.882,64.9845,0.0157481,0.0104987,0.0236221,124.375,82.9168,186.563,0.0452109,0.0301406,0.0678164
2020-05-28,46003,Aurora,SD,23,0,2.14286,0,3.99778,2.66519,5.99667,0.908525,1.46367,0.975782,2.19551,36.946,24.6307,55.4191,0.01343,0.00895336,0.0201451,125.839,83.8926,188.758,0.045743,0.0304953,0.0686145
2020-05-29,46003,Aurora,SD,23,0,0.428571,0,3.85065,2.5671,5.77597,1.00552,1.54162,1.02775,2.31244,32.0609,21.3739,48.0913,0.0116543,0.00776951,0.0174814,127.381,84.9204,191.071,0.0463034,0.0308689,0.069455
2020-05-30,46003,Aurora,SD,25,0,0.428571,0,3.70203,2.46802,5.55305,1.09727,1.61967,1.07978,2.4295,28.6498,19.0998,42.9746,0.0104143,0.00694287,0.0156215,129,86.0001,193.5,0.0468921,0.0312614,0.0703382
2020-05-31,46003,Aurora,SD,26,0,0.571429,0,3.61584,2.41056,5.42376,1.15388,1.76374,1.17582,2.6456,26.7041,17.8028,40.0562,0.00970707,0.00647138,0.0145606,130.764,87.176,196.146,0.0475333,0.0316888,0.0712999
2020-06-01,46003,Aurora,SD,26,0,0.571429,0,3.55861,2.37241,5.33792,1.17182,1.89894,1.26596,2.84841,25.6807,17.1205,38.5211,0.00933506,0.00622337,0.0140026,132.663,88.4419,198.994,0.0482235,0.032149,0.0723353
2020-06-02,46003,Aurora,SD,26,0,0.571429,0,3.54358,2.36238,5.31536,1.13748,1.96169,1.30779,2.94253,25.6702,17.1134,38.5052,0.00933121,0.00622081,0.0139968,134.625,89.7497,201.937,0.0489366,0.0326244,0.0734049
2020-06-03,46003,Aurora,SD,27,0,0.714286,0,3.53965,2.35977,5.30948,1.05852,1.74712,1.16475,2.62069,25.4095,16.9397,38.1143,0.00923647,0.00615765,0.0138547,136.372,90.9145,204.558,0.0495717,0.0330478,0.0743575
2020-06-04,46003,Aurora,SD,27,0,0.571429,0,3.35313,2.23542,5.0297,0.93952,1.52902,1.01934,2.29353,24.887,16.5913,37.3305,0.00904653,0.00603102,0.0135698,137.901,91.9338,206.851,0.0501275,0.0334183,0.0751912
2020-06-05,46003,Aurora,SD,27,0,0.571429,0,3.32268,2.21512,4.98402,0.799598,1.31656,0.877709,1.97485,24.2435,16.1624,36.3653,0.00881263,0.00587508,0.0132189,139.217,92.8115,208.826,0.0506061,0.0337374,0.0759091
2020-06-06,46003,Aurora,SD,29,0,0.571429,0,3.31306,2.2087,4.96958,0.647143,1.10383,0.735887,1.65575,23.4737,15.6491,35.2106,0.00853279,0.00568853,0.0127992,140.321,93.5474,210.482,0.0510073,0.0340049,0.076511
2020-06-07,46003,Aurora,SD,29,0,0.428571,0,3.32643,2.21762,4.98964,0.523093,0.89486,0.596573,1.34229,22.5802,15.0535,33.8703,0.00820799,0.00547199,0.012312,141.216,94.144,211.824,0.0513326,0.0342217,0.0769989
2020-06-08,46003,Aurora,SD,29,0,0.428571,0,3.33407,2.22271,5.0011,0.424535,0.691313,0.460876,1.03697,21.7093,14.4729,32.564,0.00789144,0.00526096,0.0118372,141.907,94.6048,212.861,0.0515839,0.0343893,0.0773758
2020-06-09,46003,Aurora,SD,29,0,0.428571,0,3.33184,2.22123,4.99776,0.351564,0.417518,0.278345,0.626276,20.6986,13.799,31.0479,0.00752402,0.00501601,0.011286,142.325,94.8832,213.487,0.0517357,0.0344904,0.0776035
2020-06-10,46003,Aurora,SD,29,0,0.285714,0,3.30626,2.20418,4.9594,0.29778,0.348828,0.232552,0.523242,19.6793,13.1195,29.5189,0.0071535,0.004769,0.0107303,142.674,95.1157,214.01,0.0518625,0.034575,0.0777937
2020-06-11,46003,Aurora,SD,29,0,0.285714,0,3.42705,2.2847,5.14058,0.257091,0.28051,0.187007,0.420764,18.5789,12.3859,27.8683,0.0067535,0.00450234,0.0101303,142.954,95.3028,214.431,0.0519644,0.0346429,0.0779466
2020-06-12,46003,Aurora,SD,30,0,0.428571,0,3.44711,2.29808,5.17067,0.200564,0.210885,0.14059,0.316328,17.3261,11.5507,25.9892,0.00629811,0.00419874,0.00944717,143.165,95.4433,214.748,0.0520411,0.0346941,0.0780616
2020-06-13,46003,Aurora,SD,33,0,0.571429,0,3.46986,2.31324,5.2048,0.161555,0.141584,0.0943896,0.212377,15.9261,10.6174,23.8891,0.00578919,0.00385946,0.00868379,143.307,95.5377,214.96,0.0520926,0.0347284,0.0781388
2020-06-14,46003,Aurora,SD,33,0,0.571429,0,3.50871,2.33914,5.26306,0.123705,0.0715382,0.047692,0.107307,14.3779,9.58529,21.5669,0.00522644,0.00348429,0.00783966,143.378,95.5854,215.067,0.0521186,0.0347457,0.0781778
2020-06-15,46003,Aurora,SD,33,0,0.571429,0,3.45545,2.30363,5.18317,0.0874014,0,0,0,12.6142,8.40947,18.9213,0.00458531,0.00305688,0.00687797,143.378,95.5854,215.067,0.0521186,0.0347457,0.0781778
2020-06-16,46003,Aurora,SD,33,0,0.571429,0,3.45492,2.30328,5.18239,0.0537353,0,0,0,10.7153,7.14351,16.0729,0.00389504,0.00259669,0.00584256,143.378,95.5854,215.067,0.0521186,0.0347457,0.0781778
