date,fips,county,state,total_cases,total_deaths,daily_positive_7day_ma,daily_deaths_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-01-22,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,02013,Aleutians East,AK,0,0,,,,,,,,,,,,,,,,,,,,,,
